~
21 23 20 21 23 22 21 20 21 20 22 23 20 22 23 21
27 81 83 27 26 00 26 00 00 27 00 26 00 81 92 26
00 91 00 00 00 00 00 00 00 00 00 00 00 91 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 25
20 21 23 1F 00 1E 21 1F 1E 23 1F 00 1E 22 23 20
83 00 26 00 00 00 00 00 00 00 00 00 00 27 80 81
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 91
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
FE FE FE FE FE FE FE FE FE FE FE FE FE FE FE FE
