bg40.txt
20 21 22 23 21 20 22 21 23 20 22 23 21 22 20 21
82 83 00 27 27 00 26 00 00 26 00 27 26 00 80 81
92 00 00 00 00 00 00 00 00 00 00 00 00 00 00 91
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 24 00 00
21 1F 25 00 00 00 00 00 00 00 00 00 1E 21 22 23
23 22 22 1F 00 00 00 00 00 00 00 00 00 1E 21 20
26 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
22 1F 00 00 00 24 00 25 00 00 25 00 00 00 24 00
21 23 1F 00 1E 20 22 21 23 20 21 1F 00 1E 23 20
FE FE FE FE FE FE FE FE FE FE FE FE FE FE FE FE
